	Episesarma_versicolor1	Episesarma_versicolor2	Episesarma_versicolor3	Parasesarma_affine	Parasesarma_continentale	Orisarma_dehaani1	Orisarma_dehaani2	Orisarma_dehaani3	Orisarma_intermedium	Orisarma_sinense	Clistocoeloma_villosum	Fasciarma_fasciatum	Macrophthalmus_definitus1	Macrophthalmus_definitus2	Macrophthalmus_definitus3	Mictyris_brevidactylus	Metaplax_longipes1	Metaplax_longipes2	Metaplax_longipes3	Metaplax_tredecim1	Metaplax_tredecim2	Metaplax_tredecim3	Metaplax_tredecim4	Gelasimus_borealis1	Gelasimus_borealis2	Gelasimus_borealis3	Tubuca_arcuata1	Tubuca_arcuata2	Paraleptuca_splendida1	Paraleptuca_splendida2	Ocypode_ceratophthalmus	Hemigrapsus_penicillatus	Metopograpsus_frontalis1	Metopograpsus_frontalis2	Metopograpsus_frontalis3	Etisus_laevimanus	Leptodius_affinis	Thalamita_danae1	Thalamita_danae2	Scylla_paramamosain	Epixanthus_frontalis1	Epixanthus_frontalis2	Epixanthus_frontalis3
GT93	9	54	3	4	0	31	4	23	0	0	0	5	7	4	2	116	0	0	0	13	8	13	11	120	85	55	28	0	0	47	0	24	62	10	84	38	0	0	0	0	136	0	0
GT94	74	2571	230	14	14	91	135	6	31	271	0	141	38	27	16	167	0	32	1	14	8	32	42	166	120	75	463	0	103	157	0	19	185	87	260	431	13	47	17	0	1269	537	352
GT95	45	1573	117	196	17	39	69	69	10	314	20	33	187	207	45	292	240	251	15	39	67	231	69	344	216	156	1212	4	19	259	27	29	557	201	364	1419	0	7	6	0	1415	1827	1344
GT96	20	403	4	23	0	3117	34	368	0	39	104	319	4	15	2	118	10	29	220	2	0	0	33	81	75	10	366	31	10	763	29	0	34	13	28	30	46	24	0	4467	813	238	240
GT97	0	0	0	0	0	8	98	9	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	101	0	0	0	0	0	0	0	0	0	0	21	82
GT98	0	0	0	0	0	23	13	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GT99	18	943	25	52	0	102	0	45	10	26	0	84	17	17	5	128	83	290	212	79	73	230	226	1376	917	556	182	0	210	9103	386	12	195	309	186	607	45	0	0	0	191	18	16
PL0	1483	21588	2241	3965	205	1593	336	384	167	1529	77	1935	672	662	247	1799	331	1109	351	124	217	1379	353	2083	1448	731	4220	1530	743	2699	9740	712	2337	2052	2281	13217	964	291	228	18	19064	10786	11396
PL1	4579	25039	2094	7287	1008	8623	245	601	674	1342	84	3220	287	378	146	891	36	655	68	251	915	3005	409	1608	1276	583	2234	205	167	406	913	1139	1546	503	690	3991	170	286	390	114	3455	3446	6564
PL1_1	213	5665	164	1796	5	4651	92	75	34	102	0	136	65	32	11	26	207	1992	235	6	47	94	145	250	161	98	273	412	20	657	6090	198	674	3898	1478	669	336	39	11	183	977	1567	323
PL1_10	0	87	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PL1_11	19	233	24	5	0	5	60	0	12	18	0	523	0	0	0	0	0	16	0	1	6	0	40	0	0	0	45	0	0	0	0	0	16	0	32	105	0	0	0	0	5	5	0
PL1_12	0	54	0	0	0	4	0	0	0	4	0	13	9	15	0	6	0	49	9	0	22	0	14	6	3	2	165	0	0	0	0	0	6	1	3	66	0	20	0	0	0	0	0
PL1_13	0	0	0	0	0	0	0	0	0	40	0	0	0	0	0	3	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PL1_2	1546	25253	3110	2565	8	995	35	67	132	619	226	4220	106	138	57	913	91	356	744	283	192	4847	598	487	447	232	1599	51	309	503	413	101	678	304	417	1340	22	88	33	0	29259	4072	22643
PL1_3	0	0	0	0	0	10	50	0	0	126	0	422	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PL1_4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	4	3	0	0	0	0	0	0	0	0	0
PL1_5	2133	3585	417	2358	478	30	113	9	90	464	41	1071	7	13	6	61	0	92	5	51	421	935	198	87	57	39	151	0	4	14	129	671	108	37	80	801	3	0	8	0	2536	303	2086
PL1_6	1270	2352	181	956	197	82	26	7	105	450	0	415	1	0	1	0	0	5	0	26	77	8	0	5	3	2	48	0	0	0	0	220	18	2	8	23	0	7	120	0	0	0	0
PL1_7	15	193	38	8	0	10	23	11	0	25	0	52	0	0	0	5	0	0	0	0	0	6	0	8	5	3	121	0	6	52	0	0	4	7	3	95	0	0	0	0	0	42	0
PL1_8	0	51	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PL10	753	2394	138	861	268	0	2	5	108	5	0	112	5	0	0	0	0	0	0	28	142	36	34	0	0	0	102	12	0	8	0	167	0	0	0	4	0	0	15	0	0	2	27
PL10_1	1061	3551	472	2259	153	6634	57	392	226	338	280	2388	100	44	34	713	77	54	176	50	130	697	175	460	368	175	584	11	232	648	0	284	371	297	414	2532	0	121	60	55	14600	3486	21253
PL10_2	47	773	102	38	0	2	7	0	8	25	0	243	19	12	0	0	0	0	0	0	21	0	8	0	1	2	60	2	0	14	0	0	0	6	0	0	0	0	0	0	0	0	0
PL10_3	0	121	4	33	0	0	4	0	0	8	0	40	13	17	15	46	0	1	0	1	1	17	2	66	53	46	288	2	30	217	0	0	58	47	49	338	0	0	0	0	94	33	0
PL11	210	5151	679	847	5	8	22	53	24	136	25	50	21	19	14	111	2	1330	4	6	7	15	110	43	18	6	249	4	34	36	3342	26	432	3414	268	119	736	0	0	16	4359	409	2548
PL11_1	1029	10516	2044	1624	1	927	139	139	273	2036	179	1954	17	18	11	116	43	190	1361	19	39	1433	14	154	123	64	1112	217	98	168	0	51	94	124	70	373	62	25	47	0	9705	1259	7680
PL11_2	616	5808	1194	973	0	13	8	2	19	538	90	171	10	6	8	23	0	5	0	0	0	550	0	19	5	5	262	0	0	7	0	0	15	16	4	31	0	0	4	0	35	0	0
PL12	61	3722	119	156	11	53	86	77	18	332	36	271	108	131	31	1118	138	741	230	17	32	158	70	465	462	156	1352	507	490	374	1555	50	977	283	362	1150	24	32	15	23	6184	2410	3597
PL12_1	89	118	116	789	0	15	22	132	18	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	1	1	0	4	8219	0	7	0	7	3	0	0	0	762	9	124	1162
PL12_2	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	3	14	13	273	75	38	156	190	0	0	0	0	0	0	0	0	4	10	0	3	6	0	0	0	0	3328	445	2727
PL12_3	4	119	6	0	0	2	26	9	0	224	0	22	8	3	0	86	0	0	0	0	7	10	2	39	26	21	170	3	0	11	0	0	48	20	21	156	0	15	0	0	1098	37	10
PL13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PL14	10	914	35	102	1	14	39	0	6	0	0	188	32	36	14	145	0	76	0	4	9	22	22	110	80	44	225	15	113	287	78	19	77	72	138	813	0	0	7	0	235	56	37
PL14_3	14	261	14	204	0	3603	261	329	0	408	0	103	3	7	5	69	0	6	0	0	0	0	0	11	14	4	47	4	40	50	96	31	53	132	131	92	13	0	0	0	171	330	2586
PL15	45	536	24	108	2	19	0	1	0	0	35	134	6	1	2	27	0	10	0	1	6	7	1	13	5	2	34	1	0	16	708	0	5	2	171	4045	232	6	3	55	3162	1804	8136
PL15_1	0	34	8	0	0	892	13	219	0	27	8	75	1	1	2	9	0	0	0	0	0	1	3	10	9	1	0	0	0	16	0	16	27	25	101	425	0	9	0	0	19	14	47
PL16	0	110	0	0	0	0	0	0	0	0	4	39	0	0	0	24	0	0	0	0	4	5	3	5	5	1	11	0	0	7	0	0	30	8	7	11	4	0	0	0	0	0	0
PL17	0	12	2	0	0	641	1	18	0	0	100	147	4	2	0	9	0	21	290	0	0	28	9	0	0	0	51	0	0	1	0	0	42	4	83	2374	184	0	0	0	4839	1367	7396
PL17_1	559	4011	253	1866	190	2558	39	185	55	395	81	1209	1	2	0	32	9	277	139	13	66	116	46	24	15	5	40	12	0	219	2000	190	537	622	456	5014	945	12	104	42	7595	1825	7598
PL17_2	112	1097	25	333	2	0	0	0	0	347	31	325	30	27	3	183	0	0	0	9	12	17	11	54	31	16	51	5	0	27	1809	162	405	167	2292	11678	2331	129	0	0	6531	7869	6390
PL18	0	4	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0
PL2	0	15	2	0	0	0	0	0	0	36	0	0	0	0	0	5	0	0	0	0	0	171	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PL2_1	43	4	0	0	0	5560	8	0	0	150	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	4	0	0	0	0
PL2_2	1929	4593	257	2264	468	577	5	0	184	0	29	593	0	0	0	0	0	6	0	43	226	64	66	0	0	0	0	0	0	0	0	464	0	3	0	0	0	0	106	0	0	8	0
PL20	3	25	0	0	0	0	3	0	0	0	0	0	1	2	2	0	0	0	0	0	0	0	0	26	15	7	0	0	0	6	0	0	17	5	1	0	0	0	0	0	0	0	0
PL21	0	15	2	5	0	0	2	9	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PL22	1245	8333	321	3130	259	5409	61	69	93	1109	0	1215	244	279	87	564	198	2161	82	76	247	177	162	598	444	266	820	30	71	342	10189	460	1025	2110	1384	4575	760	166	70	170	1244	1724	1187
PL22_1	2449	14489	791	4905	744	8768	161	49	198	4086	23	2019	55	61	39	173	9	2585	35	41	337	136	289	137	76	44	984	44	40	289	9484	922	613	3213	521	2486	166	20	219	62	1754	465	897
PL22_2	81	481	130	16	0	52	1	6	0	183	4	180	8	5	5	13	3	0	0	0	0	0	0	10	2	4	129	0	0	12	0	0	13	9	5	17	0	0	0	0	0	14	0
PL24	75	2903	31	3	1	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	1665	0	16	8	1	0	0	34	28	222	0	15	2	2	27	0	0	0	0	2695	386	2120
