	Episesarma_versicolor1	Episesarma_versicolor2	Episesarma_versicolor3	Parasesarma_affine	Parasesarma_continentale	Orisarma_dehaani1	Orisarma_dehaani2	Orisarma_dehaani3	Orisarma_intermedium	Orisarma_sinense	Clistocoeloma_villosum	Fasciarma_fasciatum	Macrophthalmus_definitus1	Macrophthalmus_definitus2	Macrophthalmus_definitus3	Mictyris_brevidactylus	Metaplax_longipes1	Metaplax_longipes2	Metaplax_longipes3	Metaplax_tredecim1	Metaplax_tredecim2	Metaplax_tredecim3	Metaplax_tredecim4	Gelasimus_borealis1	Gelasimus_borealis2	Gelasimus_borealis3	Tubuca_arcuata1	Tubuca_arcuata2	Paraleptuca_splendida1	Paraleptuca_splendida2	Ocypode_ceratophthalmus	Hemigrapsus_penicillatus	Metopograpsus_frontalis1	Metopograpsus_frontalis2	Metopograpsus_frontalis3	Etisus_laevimanus	Leptodius_affinis	Thalamita_danae1	Thalamita_danae2	Scylla_paramamosain	Epixanthus_frontalis1	Epixanthus_frontalis2	Epixanthus_frontalis3
delta proteobacterium (no order in NCBI)	2	53	12	0	6	0	0	0	0	0	0	0	0	0	0	8	0	0	0	2	6	10	0	0	0	0	6	0	0	0	0	0	5	5	1	18	0	0	0	0	0	0	0
Deltaproteobacteria bacterium (no order in NCBI)	166	2744	461	222	278	28	75	12	58	59	58	357	1911	3342	862	342	40	3206	833	155	220	818	543	1008	655	387	4772	62	116	233	0	40	827	711	326	5539	0	6	10	0	54	97	394
Desulfarculales	23	429	44	0	4	0	6	10	0	0	0	0	10	27	12	36	0	10	2	4	6	22	14	5	10	1	52	2	0	10	0	0	32	3	8	195	0	0	72	0	0	0	0
Desulfobacterales	51652	712353	113756	3924	4291	2097	1127	856	10123	593	606	6061	26046	35076	13725	170414	6584	22904	7575	17112	21703	30715	24262	107253	74049	46985	27690	1626	24290	42824	8	424	166697	111418	161255	395179	807	348	864	36	1089764	83330	439636
Desulfovibrionales	9182	53008	6403	306	67	72	11	24	399	22	26	103	152	279	83	559	69	305	157	365	38586	557	7768	604	389	282	572	234	25	192	0	76	2495	421	1263	2127	76	650	6	0	327527	551616	549302
Desulfurellales	57	387	20	186	0	660	53	169	0	209	4	227	2	4	0	402	0	56	38	0	0	51	4	107	32	21	1055	0	14	188	0	12	68	8	0	119	0	0	6	0	8	2	6
Desulfurobacteriales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	3	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0
Desulfuromonadales	773	5241	902	69	31	70	4	35	1628	7	4	94	894	1048	486	1663	8	397	83	35	119	245	125	673	492	320	1554	61	431	1517	0	61	703	920	506	7106	26	50	10	0	105	8	501
Dethiosulfatibacter (no order in NCBI)	0	0	0	7	0	0	0	0	142	0	0	10	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	4	20
Dissulfuribacter (no order in NCBI)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0	0	0	0	0	0
Dissulfurirhabdaceae (no order in NCBI)	0	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	2	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eggerthellales	0	84	2	8	0	40	0	0	20	0	0	7	4	1	2	24	0	0	0	0	0	0	0	0	0	0	76	0	48	38	0	0	68	43	48	0	0	209	0	0	35	2	22
Egibacterales	10	230	2	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	42	0	0	18	0	0	0	0	4	10	0	0	0	0	43	0	0
Egicoccales	2	386	5	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	8	6	2	4	0	50	0	39	105	0	0	0	0	0	0	0	0	0	0	0	18	0
Elusimicrobia bacterium (no order in NCBI)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Elusimicrobiales	0	0	0	0	0	0	0	0	0	0	0	0	6	11	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	109	23	207
Emcibacterales	113	898	90	35	10	0	0	6	6	27	0	0	49	97	21	21	0	0	18	4	21	34	27	60	22	18	158	0	2139	383	0	16	152	94	2	31	0	14	0	0	12	0	14
Endomicrobiales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	4	14	2	0	0	0	0	0	0	0	0	0	0	0	8	69	0	0	0	0	0	0	0
endosymbiont of Escarpia spicata (no order in NCBI)	0	0	0	0	0	0	0	0	0	0	0	0	18	18	6	10	0	0	0	0	0	0	0	5	3	2	0	0	0	0	0	0	15	9	0	15	0	0	0	0	0	0	0
endosymbiont of Lamellibrachia barhami (no order in NCBI)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	61	0	0	0	0	0	0	0
endosymbiont of Ridgeia piscesae (no order in NCBI)	0	0	0	0	0	0	0	0	0	0	0	0	16	11	1	0	0	0	0	0	0	0	0	11	4	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
endosymbiont of Seepiophila jonesi (no order in NCBI)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	6	2	0	0	0	0	0	0	0	0
endosymbiont of Tevnia jerichonana (no order in NCBI)	0	0	0	0	0	0	0	0	0	0	0	0	37	36	60	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	46	0	0	0	0	0	0	0	0	0	0	0
endosymbiont of unidentified scaly snail isolate Monju (no order in NCBI)	0	0	0	0	0	0	0	0	0	0	0	4	3	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Enterobacterales	55924	43382	18511	23566	11514	14673902	83885	49441	21511	1618135	29541	36579	8924	4936	15665	12466	3504	10211	7331	2378	4746	6363	3616	11757	9214	7825	16825	13349	20044	6595	12350	7261	50047	47212	55425	22004	5665	15703	57684	318	26275	18409	30346
Entomoplasmatales	315	2282	333	9024	36	3233	1275	5649	449	9528	1235	5592	14	48	12	1732	32	331	168	79	181	199	685	350	811	110	293	50	58	8971	94	1183	187255	82434	164367	1581	499	2	450	8023	1713	468	696
Epsilonproteobacteria bacterium (no order in NCBI)	0	14	2	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	1	0	4	8	0	0	0	0	0	19	4	0	0	0	0	0	0	0	0	0
Erysipelotrichales	30	412	22	2894	104	2401	216	1323	263	645	532	1520	49	144	24	1522	533	3742	16031	798	1464	11534	2414	12601	7808	5308	15214	23428	151	750	998	359	1042	296	619	909	318	0	170	1573	4006	944	3926
Erysipelotrichia bacterium (no order in NCBI)	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	3	8	0	0	0	0	0	0	0	0	0
Eubacteriales	4918	76525	7487	33061	210	823659	14471	168009	56759	35313	82382	127939	3712	4020	3136	211587	11946	4961	42357	7182	8827	27209	36724	41465	38528	13835	99177	26012	2334	16745	989	2007	10695	4931	17665	66986	17865	2124	1265	8463	425042	156465	573684
Euzebyales	35	3362	209	39	18	39	71	107	20	55	287	6	63	61	20	367	0	39	0	18	0	58	22	146	109	75	808	56	2668	3674	0	10	101	72	146	479	0	26	10	0	725	64	4
Ferrovales	0	16	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fibrobacterales	28	272	59	40	0	21	0	16	12	13	0	24	2	0	6	0	0	0	0	2	0	7	20	0	0	0	50	13	298	14	0	0	6	6	6	6	25	0	0	0	276	36	243
Fimbriimonadales	0	6	0	0	0	0	0	0	0	0	8	0	0	0	0	6	0	0	0	0	0	0	0	132	150	205	12	0	6	14	0	0	0	0	0	0	0	0	0	0	0	0	0
Firmicutes bacterium (no order in NCBI)	0	26	0	11	0	0	0	10	0	0	9	12	2	2	6	0	0	4	0	6	0	3	6	0	0	0	29	0	0	10	0	0	0	0	0	0	12	0	0	0	11	0	0
Flavobacteria bacterium (no order in NCBI)	0	0	0	0	0	2	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Flavobacteriales	35675	238121	817583	180321	6123	67142	47780	10062	15070	11213	12495	342696	51555	57963	27134	199822	9745	50252	184747	18524	49898	95031	26955	397860	289736	204243	34663	1193395	18084	307390	2365114	42735	1013037	129947	205762	378184	34165	45804	116129	1206	446617	1557855	744013
Flavobacteriia bacterium (no order in NCBI)	0	18	18	0	2	38	2	0	0	0	0	0	8	9	0	0	0	0	12	5	11	22	20	54	57	46	6	23	0	12	3	30	52	11	14	59	0	117	7	0	0	90	0
Frankiales	242	10509	414	267	57	1092	694	790	305	1302	618	302	206	117	44	188	0	126	17	39	17	151	34	110	61	30	3621	17	786	850	0	75	116	204	148	151	0	6	32	0	256	36	96
Fusobacteriales	74	155504	89	44111	2	2374	138	784	407	570	641	1593	22	95	19	2185	133	88	648	98	187	754	509	418	701	547	349	280	218	197	156	97	712	403	14846	1635	216	20712	223	2068	11949	180991	25920
Fusobacteriia bacterium (no order in NCBI)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	66	0	0
Gaiellales	0	17	0	0	0	0	106	27	0	56	0	22	0	0	0	73	0	10	0	0	0	0	0	0	0	0	521	0	26	130	0	0	4	4	1	8	0	0	0	0	0	0	16
Gallaecimonas (no order in NCBI)	150	108	23	437	2	0	0	0	20	2973	0	16	0	0	0	0	0	0	0	0	52	0	20	0	0	0	37	0	0	0	0	0	2	0	6	407	0	0	0	0	26	23	15078
gamma proteobacterium (no order in NCBI)	29	64	0	4	14	0	0	0	0	0	8	0	72	47	25	12	0	0	0	17	53	88	30	770	623	252	32	4	16	16	0	22	692	105	194	92	6	6	0	0	8	4	2
gamma proteobacterium endosymbiont of Lamellibrachia anaximandri (no order in NCBI)	0	8	0	0	0	0	0	0	0	0	0	0	24	10	6	0	0	0	0	0	0	0	0	14	4	15	0	0	0	0	0	0	18	10	8	18	0	0	0	0	0	0	0
gamma proteobacterium symbiont of Ctena orbiculata (no order in NCBI)	0	26	0	0	0	0	0	0	0	0	0	0	16	30	10	0	0	0	0	0	0	2	4	49	33	8	18	0	0	0	0	0	10	6	2	234	0	0	0	0	0	0	0
gamma proteobacterium symbiont of Stewartia floridana (no order in NCBI)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	1	0	0	66	62	0	0	0	0	0	562	0	0	0	0	0	0	0
Gammaproteobacteria bacterium (no order in NCBI)	988	21453	2388	4534	633	209	84	74	9	74	29	1425	16996	20663	8271	31249	893	68177	9620	1202	1090	4166	1050	15127	13065	7936	36469	1016	3276	4168	6091	628	19738	9387	8676	30123	263	304	107	0	989	1004	1228
Gemmatales	0	311	26	3736	14	659	228	101	6	1209	131	2937	22	15	8	162	0	88	1	9	14	16	7	51	45	32	11852	177	641	515	0	40	144	205	156	240	0	14	16	0	46	0	46
Gemmatimonadales	227	5763	243	405	50	112	60	14	0	18	7	70	1264	1284	570	4525	40	1239	140	168	190	784	276	2251	1776	1086	4301	196	1005	820	33	247	2726	1234	705	1347	130	7	0	0	6	121	610
Gemmatimonadetes bacterium (no order in NCBI)	176	4322	180	411	110	47	29	3	0	6	27	22	2449	2587	1347	17026	13	573	96	530	522	1278	566	4238	3189	2235	1428	405	1146	985	0	89	8615	3491	1073	191	26	0	0	0	0	64	27
Geodermatophilales	81	6828	352	233	68	6678	6681	3649	6	4718	2390	437	436	191	131	585	4	106	0	77	52	269	72	501	353	222	2833	37	1473	1406	0	94	746	14072	1684	440	10	80	903	0	282	56	112
Ghiorsea (no order in NCBI)	687	118	657	734	1006	13	22	46	1470	113	425	2293	2819	2601	4592	48	1090	1885	1896	2184	1921	1828	2010	6565	5901	4760	953	1587	22	58	0	66	4416	3869	5106	1108	20519	2073	1100	0	22	0	0
