	Episesarma_versicolor1	Episesarma_versicolor2	Episesarma_versicolor3	Parasesarma_affine	Parasesarma_continentale	Orisarma_dehaani1	Orisarma_dehaani2	Orisarma_dehaani3	Orisarma_intermedium	Orisarma_sinense	Clistocoeloma_villosum	Fasciarma_fasciatum	Macrophthalmus_definitus1	Macrophthalmus_definitus2	Macrophthalmus_definitus3	Mictyris_brevidactylus	Metaplax_longipes1	Metaplax_longipes2	Metaplax_longipes3	Metaplax_tredecim1	Metaplax_tredecim2	Metaplax_tredecim3	Metaplax_tredecim4	Gelasimus_borealis1	Gelasimus_borealis2	Gelasimus_borealis3	Tubuca_arcuata1	Tubuca_arcuata2	Paraleptuca_splendida1	Paraleptuca_splendida2	Ocypode_ceratophthalmus	Hemigrapsus_penicillatus	Metopograpsus_frontalis1	Metopograpsus_frontalis2	Metopograpsus_frontalis3	Etisus_laevimanus	Leptodius_affinis	Thalamita_danae1	Thalamita_danae2	Scylla_paramamosain	Epixanthus_frontalis1	Epixanthus_frontalis2	Epixanthus_frontalis3
[Frankia] sp. (no family in NCBI)	1	1	0	0	0	14	4	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0
[Leptolyngbya] sp. (no family in NCBI)	0	0	0	5	0	4	0	2	0	0	0	0	19	1	17	0	0	0	0	6	0	8	0	14	18	16	26	0	319	2875	0	0	33	10	65	252	0	26	0	0	0	0	0
[Streptomyces] sp. (no family in NCBI)	83	78	7	8	0	69	158	69	0	148	144	38	0	0	0	47	0	8	0	0	0	0	0	0	0	0	46	0	78	2	0	8	4	2	0	30	0	0	4	0	0	0	12
Abitibacteriaceae	0	16	2	0	0	0	0	0	0	0	0	0	0	0	0	0	100	86	208	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acanthopleuribacteraceae	0	4	0	0	0	0	0	0	0	0	0	14	0	0	0	11	0	0	0	0	0	0	18	6	2	0	18	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0
Acaryochloridaceae	0	15	0	0	2	0	0	0	0	0	0	0	18	13	1	81	0	10	2	2	2	4	5	0	0	0	59	2	0	346	0	24	4	8	19	109	0	0	0	0	0	0	0
Acetobacteraceae	71	2156	200	8780	83	8110	5536	1212	79	2237	22	31570	187	120	90	98	41	582	53	42	120	216	160	386	285	105	107274	1159	672	797	63	89	1966	8539	1435	1584	59	20	196	0	344	169	398
Acholeplasmataceae	4	12	40	313	0	119	0	4	164	162	92	78	5	22	3	169	0	0	0	0	2	7	103	95	67	27	35	15	0	4	48	11	33	4	14	118	8	10	10	0	576	134	723
Acidaminococcaceae	2	33	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	40	0	0	0	3	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	2
Acidiferrobacteraceae	4	74	16	0	10	0	0	0	0	7	0	0	6	13	7	34	0	27	4	1	10	26	6	27	13	8	190	0	0	2	134	6	68	30	29	523	0	0	0	0	105	4	26
Acidimicrobiaceae	511	37939	1284	1978	133	362	453	104	0	20	16	278	882	659	277	1042	20	1803	19	159	85	554	293	1704	1147	747	11311	93	6293	9100	0	707	1519	2017	2431	9230	8	110	295	0	18831	2616	2968
Acidimicrobiales bacterium (no family in NCBI)	46	8177	313	175	24	119	121	36	0	130	10	128	280	147	89	551	8	106	14	8	6	62	32	283	202	124	2372	29	1419	2178	0	46	124	194	342	775	0	0	89	0	2421	117	84
Acidimicrobiia bacterium (no family in NCBI)	46	1984	105	31	18	523	463	571	0	71	0	125	286	288	145	253	6	69	4	28	25	50	31	276	230	111	1509	94	530	781	0	134	196	273	507	780	0	52	20	0	1359	34	325
Acidithiobacillaceae	1	85	5	4	3	0	0	0	0	0	0	112	11	21	5	35	0	0	0	13	13	4	8	2	4	2	168	15	0	4	0	0	21	16	20	183	9	0	0	0	0	0	16
Acidithiobacillales bacterium (no family in NCBI)	8	65	12	6	0	0	0	0	0	0	0	0	65	50	17	151	2	635	28	0	2	6	2	25	19	13	102	0	0	22	0	0	107	40	11	0	0	0	0	0	0	0	0
Acidobacteria bacterium (no family in NCBI)	38	1936	158	514	96	167	403	143	0	122	39	1355	1693	1507	1125	915	56	1126	127	81	88	419	159	611	510	418	16872	206	635	469	6	207	1107	952	328	1632	14	8	40	0	16	111	699
Acidobacteriaceae	20	412	2	39	0	2	16	10	0	22	0	12	0	4	0	22	6	18	0	0	34	0	10	24	11	31	236	5	68	38	0	0	10	9	12	53	0	0	0	0	4	0	0
Acidobacteriales bacterium (no family in NCBI)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acidobacteriia bacterium (no family in NCBI)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	8
Acidothermaceae	0	0	0	0	0	6	4	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Actinobacteria bacterium (no family in NCBI)	127	14446	296	378	145	7148	17584	4781	0	470	36	2330	417	317	147	378	8	173	22	120	75	321	124	1110	993	575	27446	419	1547	2193	6	102	356	566	1260	3099	19	30	119	0	2744	99	2022
Actinomycetaceae	4	1099	80	88	17	188	217	82	0	423	33	114	12	10	6	51	0	18	0	12	3	47	84	24	23	12	437	10	152	162	0	6	23	79	92	245	0	0	52	0	362	4	69
Actinomycetales bacterium (no family in NCBI)	64	5800	154	4	0	396	190	70	6	257	68	0	0	0	0	2	2	28	0	0	0	0	0	9	6	5	1817	112	74	20	0	0	8	14	2	3	0	2	2	0	0	0	0
Actinopolymorphaceae	0	261	7	0	0	4	10	43	0	6	12	14	6	0	4	0	0	0	0	0	0	0	0	0	0	0	56	0	0	18	0	0	0	11	0	10	0	0	0	0	0	0	0
Actinopolysporaceae	0	54	1	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	4	6	0	0	0	0	0	0	0	0	0
Aerococcaceae	0	17	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	38	14	9	8	0	0	0	0	0	0	1	0	8	0	0	0	22	0	0	0
Aeromonadaceae	1648	5638	861	1585	304	158904	13478	27429	1804	121977	296	5217	430	448	287	906	170	85515	390	109	440	247	222	646	440	286	1799	86	135	251	105	2834	1147	337	6889	2497	191	504	410	1813	809	620	2408
Aestuariicella (no family in NCBI)	25	293	12	458	36	0	10	0	0	0	0	42	58	79	21	130	0	22	2	16	19	76	41	116	78	36	554	22	50	48	104	20	272	133	115	59	36	8	0	0	0	0	8
Aestuariirhabdaceae	6	286	10	119	6	0	0	0	0	0	0	0	13	11	6	100	0	46	32	2	1	26	10	44	16	13	175	0	0	0	0	0	24	0	8	47	4	28	0	0	0	0	0
Aestuariivirgaceae	4	110	6	20	0	4853	1569	1672	0	52	0	4	0	0	0	0	6	222	2	12	4	10	6	8	9	4	1965	48	6	24	0	0	6	0	12	40	0	0	16	0	4	0	0
Afifellaceae	39	27579	88	0	56	5	2	15	0	0	0	14	56	112	34	14	0	0	0	32	4	89	2	73	25	35	38	0	24	187	8	0	142	99	22	62	0	0	0	0	0	0	8
Aggregatilineaceae	0	195	2	0	0	0	0	0	0	0	0	0	0	0	0	42	0	0	0	0	0	6	0	0	0	0	18	0	0	4	0	0	0	4	6	0	0	0	0	0	0	0	0
Ahrensiaceae	573	21196	1854	0	11	12	28	27	0	6	0	0	15	16	12	8	4	6	0	19	5	29	12	82	74	16	162	6	44	66	0	0	149	87	31	165	0	14	0	0	3383	20	6
Akkermansiaceae	41	942	87	9529	19	15	20	0	0	6	6	140	171	196	87	10037	6	92	20	23	65	263	194	3829	2510	1855	2604	98	447	704	53	167	1306	694	1078	7143	8	68	10	0	55	9	54
Alcaligenaceae	99	1823	148	503	23	631	95	51	299	30484	10	775	179	221	113	1163	11	867	47	17	73	48	41	418	278	155	5853	220	108	385	61	56	487	336	426	1288	10	87	20	0	604	176	268
Alcanivoracaceae	318	1932	299	58675	78	159	790	46	203	171	30	2946	402	483	331	1361	55	3191	51	119	243	360	188	1021	768	477	76381	345	104	278	666	80	789	393	493	1116	11	436	98	0	247	50	242
Algiphilaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	2	14	5	0	0	0	0	0	0	0	0
Alicyclobacillaceae	0	20	0	66	0	0	77	0	0	0	0	0	0	0	0	11	0	0	0	2	1	0	0	61	67	39	13	0	0	0	0	0	12	0	0	76	0	0	0	0	0	0	0
Alkalimonas (no family in NCBI)	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Allonocardiopsis (no family in NCBI)	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0
alpha proteobacterium (no family in NCBI)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	6	0	0	4	0	4	121	0	0	0	0	0	0	0
Alphaproteobacteria bacterium (no family in NCBI)	94	3019	398	199	162	325	659	132	0	757	105	403	457	428	205	2745	71	84	158	288	283	863	275	2778	1664	1341	2196	52	3242	7478	139	796	4423	1349	3672	3757	0	8	2	0	1032	160	298
Alsobacteraceae	0	15	1	0	0	680	97	21	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	10	0	0	9	9	7	17	0	0	0	0	0	0	11
Alteromonadaceae	34284	26829	27335	3449	303	1102	201	490	1405	3180	37	1901	1095	1047	389	5896	246	842	470	381	627	901	489	4286	4019	2301	5815	2494	1558	2427	1096	493	4247	1954	5393	9384	177	603	197	0	592	207	835
Amoebophilaceae	2	22	0	183	2	25	130	58	0	39	1472	0	11	31	20	40	0	0	0	0	0	12	6	6	0	0	627	19	110	202	0	0	1035	467	630	53	3940	0	0	0	0	0	4
Amorphaceae	45	1930	128	113	38	81	6348	39	0	54	144	177	113	73	43	204	0	8	4	31	7	61	16	136	74	55	327	8	729	2111	0	10	295	302	277	527	16	4	10	0	34	11	26
Anaerolineaceae	695	86713	350	117	44	180	24	25	0	20	4	8	398	437	154	406	2	110	14	39	52	258	80	135	108	53	6121	232	2155	860	8	0	147	337	187	497	289	0	24	0	1472	1424	4262
Anaerolineae bacterium (no family in NCBI)	79	5761	341	0	111	0	0	0	0	0	0	0	661	708	346	910	2	161	27	41	28	489	148	89	64	23	2601	129	248	299	0	6	168	285	223	779	95	0	106	0	1779	5	410
Anaerolineales bacterium (no family in NCBI)	16	1269	87	15	92	56	23	30	0	0	6	0	326	279	118	536	4	126	25	53	12	104	47	199	143	50	1773	57	92	274	0	0	122	173	112	210	0	0	8	0	22	0	18
Anaeromyxobacteraceae	0	101	0	0	0	0	2	2	0	14	0	18	4	6	0	13	0	34	10	0	0	0	0	14	15	7	161	0	0	0	0	0	6	2	0	6	0	0	0	0	0	0	14
Anaeroplasmataceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	2	4	0	131	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Anaerovirgula (no family in NCBI)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	30
Anaplasmataceae	386	95	471	18	21	56	1	19	26	22	17	0	21	19	20	1164	157	219	319	96	81	123	96	13	14	14	400	456	0	34	0	332	294	90	165	104	103	347	0	0	18	2	10
Ancalomicrobiaceae	31	30	38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0
Antricoccaceae	0	0	0	0	0	0	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0	2	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Aphanizomenonaceae	0	0	0	8	0	28	1	64	0	11	0	42	89	279	36	142	0	0	0	163	42	48	17	171	148	85	220	17	22	147	0	0	502	201	12	277	0	0	6	0	22	0	0
Aphanothecaceae	0	42	4	167	6	2	8	10	0	10	97	0	383	2504	264	1629	0	4	6	766	93	362	200	2565	1959	1596	1958	325	617	6368	0	0	1753	842	164	477	53	0	0	0	69	72	58
Aquabacterium (no family in NCBI)	0	10	0	42	0	8	0	1	0	26	0	102	0	0	0	0	0	14	0	0	0	0	0	0	0	0	164	0	0	10	0	0	14	9	4	64	0	0	0	0	0	0	0
Aquificaceae	156730	29106	132304	92310	22005	93769	136249	82277	239965	142142	353032	416001	149650	114302	178763	486461	228304	450040	307667	815620	789771	622160	750519	347996	353887	365189	75622	104345	131146	72986	245373	635962	299635	356608	446246	288483	542075	118466	143950	1402	377484	418941	358209
Aquificales bacterium (no family in NCBI)	4	171	6	0	0	0	0	0	0	0	0	0	13	26	2	0	0	0	0	0	0	6	0	0	0	0	0	0	0	4	0	0	12	14	4	0	0	0	0	0	0	0	16
Aquincola (no family in NCBI)	2	66	2	57	0	33	0	6	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	2	6	8	235	0	0	4	0	0	16	0	22	66	0	0	0	0	0	0	0
Archangiaceae	2	98	0	1171	2	74	84	16	0	374	4	233	10	2	0	91	0	28	0	0	0	2	6	13	12	0	207717	7130	40	26	0	16	16	25	1	59	0	0	0	0	34	6	37
Ardenticatenaceae	8	780	24	0	10	20	8	1	0	0	0	0	37	54	6	166	0	0	0	4	22	78	18	24	10	8	1690	116	442	320	0	4	22	25	8	24	93	0	0	0	14	2	224
Ardenticatenales bacterium (no family in NCBI)	0	6	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ardenticatenia bacterium (no family in NCBI)	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	35	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	4
Arenicellaceae	8	205	22	59	0	0	0	0	0	0	0	18	0	37	0	42	14	0	0	0	11	0	10	25	16	9	87	0	0	14	0	0	50	26	16	291	60	5	0	0	340	0	85
Armatimonadaceae	0	0	0	6	4	32	19	21	0	0	0	24	10	8	2	62	0	4	16	0	6	4	2	57	49	25	30	0	0	4	0	0	22	8	36	49	0	0	0	0	0	0	0
Armatimonadetes bacterium (no family in NCBI)	6	346	7	15	6	0	2	2	0	0	0	6	26	33	10	75	0	0	0	4	4	2	18	33	21	14	138	4	52	63	0	8	19	60	41	148	0	0	0	0	14	0	8
Atopobiaceae	8	37	5	0	0	4	12	0	0	0	0	13	0	0	0	0	6	2	2	0	0	0	0	0	0	0	6	0	0	2	103	44	0	18	4	0	0	0	0	0	0	0	0
Aurantimonadaceae	2715	9047	8845	2155	89	984	1137	353	27	4578	97	274	175	81	81	154	10	107	6	34	58	173	125	100	109	32	888	110	146	362	25	12	223	194	73	451	0	12	22	0	690	305	45
Azonexaceae	8	166	14	0	4	873	79	236	0	14	0	8	44	64	12	431	22	161	18	0	8	24	12	11	8	2	136	19	0	12	0	0	99	48	18	24	0	0	0	0	39	0	0
Azospirillaceae	620	4159	919	464	108	124	393	43	93	717	78	615	223	202	80	388	58	357	31	65	79	255	172	481	410	233	1752	150	1273	1202	0	96	458	559	796	30092	44	4	86	0	300	333	1412
Bacillaceae	9777	6247	7790	9925	80	24631	17923	20679	1131	6247	7233	6355	313	527	270	9883	7498	25853	14335	12856	12587	10860	12758	5151	4554	2193	4258	2665	2138	2149	46326	63715	20119	21838	27027	6869	955	603	3346	12914	12201	3055	16248
Bacilli bacterium (no family in NCBI)	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteriodetes bacterium (no family in NCBI)	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteriovoracaceae	10	10	0	23	0	17	25	2	0	0	0	11	0	0	0	4	0	0	0	0	0	0	0	0	0	0	16	0	0	20	0	0	27	6	14	0	0	0	0	0	0	0	0
bacterium 336/3 (no family in NCBI)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	4	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0
bacterium ADurb.Bin425 (no family in NCBI)	0	0	0	0	0	6	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
bacterium ADurb.Bin429 (no family in NCBI)	0	0	0	0	0	4	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
bacterium ADurb.Bin431 (no family in NCBI)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
bacterium ADurb.BinA028 (no family in NCBI)	0	0	0	0	0	33	28	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
bacterium AH-315-E10 (no family in NCBI)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
bacterium AH-315-K03 (no family in NCBI)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	3	0	0	0	0	0	0	0	0	0
bacterium AMD01 (no family in NCBI)	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
bacterium AMD02 (no family in NCBI)	0	0	0	0	0	34	7	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
bacterium BFN5 (no family in NCBI)	0	66	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
bacterium BMS3Abin11 (no family in NCBI)	0	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
bacterium BMS3Bbin10 (no family in NCBI)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	99	0	0
bacterium BMS3Bbin11 (no family in NCBI)	0	16	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
bacterium endosymbiont of Escarpia laminata (no family in NCBI)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	119	0	0	0	0	0	0	0
bacterium HR12 (no family in NCBI)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	44	23	31	0	0	0	0	0	0	0	0
bacterium HR29 (no family in NCBI)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
bacterium HR39 (no family in NCBI)	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
bacterium J17 (no family in NCBI)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12
bacterium JGI (no family in NCBI)	0	0	0	0	0	42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
bacterium M21 (no family in NCBI)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0
bacterium MnTg02 (no family in NCBI)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	2	0	0	0	0	0	0	0	44	0	0	0	0	0	0	0
bacterium MnTg03 (no family in NCBI)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28	55	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
bacterium NHP-B (no family in NCBI)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	61	37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	8	0	0	0	0	0	0	0	0
bacterium SCGC (no family in NCBI)	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
bacterium symbiont of Theonella swinhoei pTSMAC1 (no family in NCBI)	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
bacterium TMED277 (no family in NCBI)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	4	0	2	0	0	0	19	0	6	8	4	0	10	0	0	0	0	0	0	0
bacterium TMED88 (no family in NCBI)	0	0	0	0	0	4	2	0	0	0	0	0	0	0	0	0	0	0	0	0	4	4	0	0	0	0	0	0	0	0	0	6	63	2	0	23	0	0	0	0	0	0	0
Bacteroidaceae	1153	8178	2693	937	14	579	22	30	556	128	99	1427	52	55	26	176	134	397	264	33	76	628	89	218	322	151	1624	77	84	180	74	362	332	99	181	162	12	121	2	111	6024	1342	7374
Bacteroidales bacterium (no family in NCBI)	103	1153	167	92	0	8	0	6	234	46	0	46	0	2	0	20	135	0	4	0	0	6	16	3	2	2	61	0	0	17	0	0	55	12	30	30	0	10	0	6	0	42	0
Bacteroidetes bacterium (no family in NCBI)	134	1139	235	186	169	43	8	4	192	35	0	357	3066	3830	1561	1798	10	51	84	602	1466	2713	484	13788	10178	5505	255	37	54	890	132	407	7844	1949	1889	2325	163	1156	22	76	322	276	352
Bacteroidia bacterium (no family in NCBI)	13	558	40	54	50	26	1	2	12	4	22	22	297	259	106	278	8	176	23	43	22	276	72	347	223	120	2197	56	0	22	0	0	510	433	63	170	0	0	6	0	0	42	2
Baekduiaceae	4	191	0	0	0	0	9	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	6	0	4	4	14	0	0	2	0	0	0	0
Balneatrichaceae	10	0	0	0	0	0	0	0	0	0	0	32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	22
Balneicellaceae	0	16	0	0	0	0	0	0	0	0	0	0	4	4	0	0	238	8	79	15	136	694	380	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	61	30	19
Balneolaceae	15	472	50	19	20	18	0	2	0	0	0	22	85	131	36	191	2	108	213	36	32	125	58	161	119	71	279	25	0	77	82	44	839	196	68	483	38	25	34	0	42	636	101
Barnesiellaceae	0	0	0	0	0	57	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bartonellaceae	32	135	19	12	15	133	60	29	0	22	0	52	32	36	15	10	0	0	15	2	19	21	29	35	11	14	47	34	34	119	16	0	38	16	21	68	0	117	11	0	82	607	395
Bathymodiolus brooksi thiotrophic gill symbiont (no family in NCBI)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0
Bathymodiolus platifrons methanotrophic gill symbiont (no family in NCBI)	3	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bdellovibrionaceae	1	49	2	75	0	29	8	47	0	14	0	436	2	8	0	99	6	67	2	8	11	20	124	18	20	4	127	2	0	42	7	0	30	119	57	64	0	70	0	0	86	8	8
Bdellovibrionales bacterium (no family in NCBI)	0	52	6	9	0	4	12	8	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0
Beijerinckiaceae	8	361	4	35	12	47	47	12	0	10	32	49	26	12	12	8	4	0	4	10	1	22	2	12	11	14	73	2	0	92	0	0	16	37	30	180	10	8	4	0	8	0	0
Bernardetiaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0	0	0	0	0	0	0	0	0	44	60	0	0	0	0	0	0	0	0	0	0	0	0	0
Betaproteobacteria bacterium (no family in NCBI)	10	334	28	416	20	59	13	27	0	0	46	308	1826	2525	1344	75	23	5111	376	148	157	256	98	816	801	564	11078	267	36	108	0	32	1130	296	383	700	0	0	0	0	2	4	14
Beutenbergiaceae	0	78	6	0	0	42	105	43	0	156	50	0	2	2	4	0	0	0	0	0	0	0	24	0	0	0	84	0	0	44	0	0	0	8	0	0	0	0	0	0	0	0	0
Bifidobacteriaceae	2	174	15	169	11	374	56	260	0	101	0	83	20	2	4	12	0	0	0	14	2	25	141	41	59	44	255	226	86	13	0	11	15	139	9	14	0	0	9	17	19	10	19
Blastocatellia bacterium (no family in NCBI)	0	0	0	0	0	0	4	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	36	0	0	0	0	0	11	0	0	0	0	0	0	0
Blastochloridaceae	0	56	8	94	0	4	8	0	0	0	0	4	0	0	0	0	0	0	0	0	2	6	0	8	2	0	60	0	158	85	0	0	61	9	26	16	0	0	0	0	31	0	8
Blattabacteriaceae	0	0	0	7	0	14	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	2	3	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	6	2	28
Bogoriellaceae	1	1514	39	0	0	41	186	26	0	18	205	0	6	0	0	52	7	27	14	0	0	0	0	55	58	35	667	9	0	18	0	305	0	32	15	0	0	0	26	0	0	0	0
Borreliaceae	0	0	0	4	0	3	3	24	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	49	0	0	8	1	0	0	0	0	0	33	0	9	0	12	10	2
Boseaceae	16	405	20	226	60	4205	3264	1032	0	448	4	150	52	45	24	52	8	41	4	25	18	86	30	69	54	32	866	39	192	256	0	30	164	124	207	375	0	4	26	0	76	8	39
Brachyspiraceae	26	143	12	29	6	35	0	16	109	54	82	4	2	4	0	0	0	15	17	5	10	45	55	2	12	0	37	26	0	8	0	0	43	10	50	8	0	0	42	10	520	125	610
