	Episesarma_versicolor1	Episesarma_versicolor2	Episesarma_versicolor3	Parasesarma_affine	Parasesarma_continentale	Orisarma_dehaani1	Orisarma_dehaani2	Orisarma_dehaani3	Orisarma_intermedium	Orisarma_sinense	Clistocoeloma_villosum	Fasciarma_fasciatum	Macrophthalmus_definitus1	Macrophthalmus_definitus2	Macrophthalmus_definitus3	Mictyris_brevidactylus	Metaplax_longipes1	Metaplax_longipes2	Metaplax_longipes3	Metaplax_tredecim1	Metaplax_tredecim2	Metaplax_tredecim3	Metaplax_tredecim4	Gelasimus_borealis1	Gelasimus_borealis2	Gelasimus_borealis3	Tubuca_arcuata1	Tubuca_arcuata2	Paraleptuca_splendida1	Paraleptuca_splendida2	Ocypode_ceratophthalmus	Hemigrapsus_penicillatus	Metopograpsus_frontalis1	Metopograpsus_frontalis2	Metopograpsus_frontalis3	Etisus_laevimanus	Leptodius_affinis	Thalamita_danae1	Thalamita_danae2	Scylla_paramamosain	Epixanthus_frontalis1	Epixanthus_frontalis2	Epixanthus_frontalis3
Unclassified Candidatus Poribacteria	41	678	22	170	6	0	20	2	0	0	0	20	71	100	25	115	4	38	6	18	44	76	92	160	119	83	424	26	421	383	0	36	253	128	106	736	49	162	2	0	94	32	209
Unclassified Candidatus Portnoybacteria	0	22	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36	0	0	0	0	0	0	0	0	15	0	0	0	0	0	30	2
Unclassified Candidatus Raymondbacteria	4	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0
Unclassified Candidatus Riflebacteria	4	76	18	6	0	4	4	4	0	0	0	0	0	0	0	110	0	93	54	0	0	0	0	15	17	0	22	0	0	44	0	0	6	4	0	40	0	8	0	0	38	0	28
Unclassified Candidatus Riflemargulisbacteria	2	10	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	12	0	4	3	2	0	14	0	0	12	0	0	2	6	0	48	0	6	0	0	2	0	20
Unclassified Candidatus Roizmanbacteria	2	206	24	77	0	8	0	0	0	17	0	97	0	4	2	203	0	0	0	0	0	0	0	7	17	3	50	0	0	107	0	0	23	8	19	6	0	6	4	0	14	18	11
Unclassified Candidatus Rokubacteria	59	1027	59	91	20	62	850	305	0	70	24	177	131	138	48	1274	10	207	13	32	22	108	56	180	144	66	2497	72	178	343	12	17	296	215	144	2688	0	26	10	0	99	39	805
Unclassified Candidatus Ryanbacteria	0	46	0	0	0	0	0	0	0	0	0	8	0	0	0	18	0	0	0	0	0	2	4	0	2	3	20	0	0	8	0	0	0	4	6	0	0	0	0	0	0	0	0
Unclassified Candidatus Saccharibacteria	8408	33664	6638	24474	29	34493	14929	2407	20	21578	234	19080	347	282	250	8067	15	7049	4819	46	79	450	755	1906	3262	477	2238	278	2406	31645	68	441	2780	1100	5845	745	35	584	23707	10	20227	27907	293
Unclassified Candidatus Saccharimonia	0	0	0	0	0	11	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Unclassified Candidatus Schekmanbacteria	7	37	0	37	0	6	12	0	8	0	0	6	2	8	2	10	8	12	1	0	0	0	0	28	28	8	63	0	0	10	0	0	18	9	10	137	0	8	0	0	0	0	0
Unclassified Candidatus Sericytochromatia	0	0	0	4	2	0	2	0	0	0	0	0	6	8	4	0	0	2	4	6	10	26	4	35	50	23	4	0	0	18	14	0	0	0	0	15	0	0	0	0	0	0	28
Unclassified Candidatus Shapirobacteria	24	37	0	0	0	8	0	0	0	0	0	0	4	9	3	343	0	6	0	0	0	0	0	6	3	1	0	0	0	4	0	0	0	0	0	0	0	4	2	0	0	18	0
Unclassified Candidatus Spechtbacteria	0	10	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Unclassified Candidatus Staskawiczbacteria	23	33	21	0	2	1	1	6	0	13	9	0	10	18	15	12	19	11	30	23	18	4	26	914	1058	1170	100	416	262	118	0	0	0	0	0	0	727	127	243	0	0	15	0
Unclassified Candidatus Sumerlaeia	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Unclassified Candidatus Sumerlaeota	208	3553	175	828	39	46	50	34	71	101	16	155	274	328	153	1776	36	451	125	79	116	337	167	804	901	494	2637	177	244	704	20	340	960	289	410	2336	37	102	64	16	4736	763	2792
