	Episesarma_versicolor1	Episesarma_versicolor2	Episesarma_versicolor3	Parasesarma_affine	Parasesarma_continentale	Orisarma_dehaani1	Orisarma_dehaani2	Orisarma_dehaani3	Orisarma_intermedium	Orisarma_sinense	Clistocoeloma_villosum	Fasciarma_fasciatum	Macrophthalmus_definitus1	Macrophthalmus_definitus2	Macrophthalmus_definitus3	Mictyris_brevidactylus	Metaplax_longipes1	Metaplax_longipes2	Metaplax_longipes3	Metaplax_tredecim1	Metaplax_tredecim2	Metaplax_tredecim3	Metaplax_tredecim4	Gelasimus_borealis1	Gelasimus_borealis2	Gelasimus_borealis3	Tubuca_arcuata1	Tubuca_arcuata2	Paraleptuca_splendida1	Paraleptuca_splendida2	Ocypode_ceratophthalmus	Hemigrapsus_penicillatus	Metopograpsus_frontalis1	Metopograpsus_frontalis2	Metopograpsus_frontalis3	Etisus_laevimanus	Leptodius_affinis	Thalamita_danae1	Thalamita_danae2	Scylla_paramamosain	Epixanthus_frontalis1	Epixanthus_frontalis2	Epixanthus_frontalis3
Candidatus Hakubanella (no class in NCBI)	0	3	0	0	0	0	0	0	0	0	0	0	6	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	2	8	11	0	0	0	0	0	0	0
Candidatus Handelsmanbacteria bacterium (no class in NCBI)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0
Candidatus Hydrogenedens (no class in NCBI)	0	31	0	0	0	0	0	0	0	0	0	0	4	2	0	23	0	0	0	0	0	10	0	2	9	0	0	0	0	0	0	0	0	0	2	7	0	0	0	0	0	0	0
Candidatus Hydrogenedentes bacterium (no class in NCBI)	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	16	2	0	0	0	0	2	0	0	10	0	0	0	0	0	0	0
Candidatus Izimaplasma (no class in NCBI)	3	25	0	4	0	0	0	0	4	10	20	0	0	0	0	47	0	0	0	0	0	11	16	6	2	2	0	0	0	0	0	0	40	5	7	30	0	0	0	0	0	0	0
Candidatus Kaiserbacteria bacterium (no class in NCBI)	0	0	0	0	0	0	0	0	0	0	0	34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	2	0	0	8	0	0	0	0	103	0	0	0	0	0	0	0
Candidatus Krumholzibacteria	2	88	6	0	0	0	0	0	0	0	0	0	10	28	0	6	0	84	4	0	0	6	0	66	53	48	220	53	0	0	0	4	9	10	4	34	0	0	0	0	0	16	0
Candidatus Krumholzibacteriota bacterium (no class in NCBI)	0	0	0	0	0	0	0	0	0	0	0	0	10	6	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Candidatus Lambdaproteobacteria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	2	0	8	0	4	0	0	0	0	0	0	2	0	0	16	0	0	20	0	0	0	0	0	0	0
Candidatus Latescibacteria bacterium (no class in NCBI)	0	0	0	29	0	0	0	0	0	0	0	0	1	2	0	104	0	0	0	0	0	0	0	3	0	4	0	0	0	0	0	0	4	0	0	28	0	0	0	0	0	0	0
Candidatus Levybacteria bacterium (no class in NCBI)	2	74	0	0	0	0	0	0	0	4	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Candidatus Limnocylindria	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Candidatus Magasanikbacteria bacterium (no class in NCBI)	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Candidatus Marinamargulisbacteria	0	14	0	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	10	4	0	0	0	0	0	0	0	0	0
Candidatus Marinimicrobia bacterium (no class in NCBI)	0	16	20	0	0	0	0	0	0	0	0	0	2	4	2	0	0	0	0	0	0	0	0	17	11	4	0	0	0	0	0	0	6	2	2	0	0	0	0	0	0	0	0
Candidatus Melainabacteria bacterium (no class in NCBI)	18	879	5	0	0	4	0	0	0	0	0	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Candidatus Methylomirabilis (no class in NCBI)	0	30	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	16	6	0	0	0	0	0	0	4	6	17	117	0	0	0	0	0	0	0
