	Episesarma_versicolor1	Episesarma_versicolor2	Episesarma_versicolor3	Parasesarma_affine	Parasesarma_continentale	Orisarma_dehaani1	Orisarma_dehaani2	Orisarma_dehaani3	Orisarma_intermedium	Orisarma_sinense	Clistocoeloma_villosum	Fasciarma_fasciatum	Macrophthalmus_definitus1	Macrophthalmus_definitus2	Macrophthalmus_definitus3	Mictyris_brevidactylus	Metaplax_longipes1	Metaplax_longipes2	Metaplax_longipes3	Metaplax_tredecim1	Metaplax_tredecim2	Metaplax_tredecim3	Metaplax_tredecim4	Gelasimus_borealis1	Gelasimus_borealis2	Gelasimus_borealis3	Tubuca_arcuata1	Tubuca_arcuata2	Paraleptuca_splendida1	Paraleptuca_splendida2	Ocypode_ceratophthalmus	Hemigrapsus_penicillatus	Metopograpsus_frontalis1	Metopograpsus_frontalis2	Metopograpsus_frontalis3	Etisus_laevimanus	Leptodius_affinis	Thalamita_danae1	Thalamita_danae2	Scylla_paramamosain	Epixanthus_frontalis1	Epixanthus_frontalis2	Epixanthus_frontalis3
K11328	2	2	0	5	0	1	0	9	0	0	0	0	0	7	0	4	0	0	0	3	0	1	12	9	4	8	17	0	0	12	0	0	20	1	2	4	0	0	0	0	2	1	1
K11329	11	153	1	8	0	10	8	14	0	45	0	12	21	53	3	47	0	23	5	6	4	20	14	73	86	40	164	2	16	84	6	0	78	27	19	50	0	0	0	0	9	3	18
K11330	2	6	0	0	0	6	5	27	0	6	0	0	4	5	0	13	0	0	0	0	0	0	0	0	2	1	93	0	0	14	0	0	7	13	0	0	0	0	0	0	0	0	0
K11331	0	5	0	4	0	16	3	8	0	0	0	0	14	26	7	4	0	0	0	4	0	4	0	38	23	10	30	0	0	31	0	0	32	18	0	17	0	0	0	0	33	0	0
K11332	0	22	0	0	0	15	10	13	0	0	0	0	3	12	3	0	0	0	0	0	0	0	0	8	5	2	56	0	0	168	0	0	7	0	5	15	0	0	0	0	0	0	0
K11333	48	1295	152	66	107	146	55	20	0	25	16	13	211	176	88	522	10	28	1	83	106	217	85	716	532	316	215	48	43	495	0	82	829	464	482	405	10	54	52	0	2	2	2
K11334	51	1783	110	46	76	84	14	4	0	45	4	14	263	205	82	576	26	15	0	45	51	159	62	990	701	401	229	14	352	487	0	73	859	466	629	571	0	56	22	0	0	0	0
K11335	51	1804	158	38	77	147	42	18	0	39	7	20	278	235	129	678	16	29	3	86	95	219	82	1037	727	443	242	41	145	552	0	73	1001	507	684	530	12	87	58	0	3	5	0
K11336	23	637	66	38	60	41	9	8	0	16	0	1	104	97	26	316	5	7	0	31	46	135	47	422	344	169	105	11	130	191	0	52	391	208	297	237	0	41	6	0	0	0	0
K11337	31	955	116	27	59	24	12	4	0	16	16	25	176	131	73	424	2	38	1	35	55	133	33	683	490	275	171	14	115	311	0	56	626	281	435	400	5	26	3	0	29	1	0
K11339	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K11352	15	453	35	0	24	17	4	0	4	163	0	36	12	9	1	5	42	66	46	21	9	74	26	87	93	32	100	17	0	57	0	0	157	64	120	222	10	0	0	0	63	141	183
K11354	60	2075	607	100	57	243	344	108	5	2264	49	211	135	182	68	78	147	227	388	33	37	108	33	478	271	262	805	2161	55	843	1092	0	342	195	248	703	0	0	19	0	3103	795	258
K11355	0	160	30	5	0	4	1	1	0	7	0	16	0	12	0	43	0	1	41	0	0	2	4	13	5	6	45	130	0	57	30	0	120	8	0	8	9	0	0	0	137	341	226
K11356	31	1125	104	62	30	55	45	48	17	248	0	30	40	124	13	171	0	83	19	45	20	614	16	228	195	84	835	7	36	456	0	42	315	128	75	328	14	8	0	0	307	6	198
K11357	71	1269	181	49	29	168	39	25	26	476	7	86	167	87	45	7	22	61	25	25	31	122	74	174	155	72	312	0	92	226	0	14	115	139	132	586	14	28	4	0	660	106	88
K11358	67	1320	137	4	23	784	38	181	26	4	37	248	86	72	34	197	0	64	16	22	30	65	109	97	93	29	328	0	10	53	0	1	246	134	121	579	0	3	5	0	1015	1105	1295
K11360	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K11365	0	26	0	0	0	10	5	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27	0	34	33	0	0	0	0	0	6	0	0	0	0	0	0	0
K11367	0	27	1	4	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	6	0	15	0	0	0	0	0	2	6	0	88	0	0	0	0	0	27	0
K11369	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
K11374	2	5	0	0	0	0	0	0	0	0	0	0	0	0	0	27	0	0	0	0	0	0	0	2	3	1	36	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0
K11381	641	13979	1336	879	173	601	424	91	160	546	121	1222	476	390	151	1461	133	998	314	155	213	1234	329	8367	6706	1815	4117	54	417	1407	52822	644	4084	2551	3648	4349	103	212	56	522	27410	10318	32531
K11382	0	0	0	0	0	0	8	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K11383	23	277	43	36	1	25	16	16	0	282	0	154	12	6	2	15	0	1	1	2	5	7	0	22	9	8	237	0	0	53	0	0	16	1	10	115	18	0	157	0	210	7	143
K11384	3	194	6	156	0	26	14	1	0	45	0	241	23	22	7	80	12	18	4	0	1	0	2	11	16	9	97	0	18	30	0	4	29	22	13	135	0	15	70	0	273	8	46
K11385	2	398	1	0	0	47	113	28	0	0	2	83	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	3	1	0	0	0	0	0	0	0	0
K11386	2	421	4	0	0	57	107	39	0	0	0	50	0	0	0	0	0	0	0	0	0	9	0	0	0	0	12	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0
K11387	1	416	0	0	0	33	53	21	0	0	4	77	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0
K11389	0	38	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	2	0	0	0	0	8	7	0	0	0	0	15	0	0	814	0	0	0	0	0	0	0
K11390	0	57	2	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0
K11391	1394	8275	501	3297	324	4418	28	75	185	852	9	770	44	39	14	128	10	1734	76	58	197	111	162	1300	1049	284	260	19	158	371	9842	418	707	1902	1168	3834	706	103	117	294	1803	2114	1740
K11392	901	7067	269	2776	177	5882	21	365	155	1027	53	1031	0	0	0	282	49	1971	469	95	124	167	255	255	280	94	194	30	130	3941	9691	354	288	1738	539	4187	659	28	93	213	1413	1912	1144
K11404	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	5	8	0	0	0	0	0	0	0
K11405	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0	23	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0
K11406	8	153	13	8	0	17	7	1	0	0	0	19	11	1	1	18	0	7	0	0	0	9	0	5	0	0	12	0	0	15	0	0	35	23	31	112	0	10	0	0	0	0	5
K11407	169	6518	449	200	95	288	175	160	13	482	5	621	386	442	155	990	193	570	61	96	142	279	106	1411	1012	648	2982	34	385	761	2679	475	1578	800	1479	4458	35	273	33	0	5578	479	656
K11408	1	54	0	0	1	6	5	0	0	2	8	0	7	4	0	4	0	0	0	1	0	2	15	6	0	0	8	0	152	23	0	0	8	12	23	10	0	8	0	0	47	0	0
K11409	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	39	0	0	0	0	0	0	0	0	9	0	0	0	0	14	0	0
K11410	17	1024	28	48	1	65	68	70	0	104	27	63	20	20	7	13	0	11	2	2	3	26	2	18	3	0	193	0	32	143	7	0	9	7	23	109	0	0	8	0	4	2	10
K11414	28	1735	43	66	3	94	132	42	0	826	32	219	113	128	56	396	137	99	1	22	41	39	38	517	367	242	545	5	6	97	15	184	574	203	469	705	10	95	6	0	62	3	10
K11415	2	30	4	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	12	2	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K11416	0	6	0	0	0	0	0	48	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0
K11418	557	4502	250	1125	122	266	10	76	87	589	0	295	66	39	19	256	3	1196	40	27	98	104	92	281	212	118	984	38	106	319	4743	224	438	1468	635	1351	45	42	5	11	1063	1350	428
K11419	0	5	1	0	0	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K11420	0	16	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	11	46	0	0	0	0	0	0
K11422	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	5	2	0	0	0	0	0	0	0	0	0	0	0	0	560	0	0	0	0
K11423	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	14
K11424	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	3	14	0	0	0	0	0	0	0
K11425	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0
K11426	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0
K11427	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	35	0	38	1	0	0	0	0	0	0	0	0	0	0	0	0	0
K11428	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
K11429	37	888	22	0	1	0	0	0	0	187	3	32	14	11	8	102	0	4	5	0	0	174	4	50	43	16	89	0	8	14	0	6	98	37	69	26	0	0	0	0	4	8	26
K11430	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5
K11433	0	8	0	53	0	0	0	0	0	0	0	0	0	0	0	0	6	65	34	0	0	0	0	679	602	626	26	17	10	9	0	0	0	0	0	0	135	0	0	0	99	96	102
K11434	0	316	15	127	4	4	4	0	0	59	11	10	31	33	28	69	3	34	2	9	3	8	9	44	19	14	373	0	16	35	0	18	100	51	140	253	13	0	0	0	293	0	132
K11436	0	42	2	0	0	0	0	0	0	0	0	6	0	0	0	17	0	0	0	0	0	0	0	2	1	1	8	0	0	0	0	0	8	3	0	27	0	0	0	0	10	289	99
K11437	0	88	4	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	7	0	0	0	0	11	0	28	14	0	0	1	4	0	16	0	0	0	0	0	0	0
K11438	2	196	5	0	0	0	0	0	0	41	11	0	0	0	0	0	0	3	0	0	0	0	0	2	11	0	0	0	0	5	0	0	15	4	2	39	0	0	0	0	7	4	0
K11439	0	58	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K11440	0	49	0	0	0	3	4	94	0	0	0	0	0	8	0	3	0	1	0	0	0	0	0	5	0	0	54	0	0	0	0	0	0	0	0	34	0	0	0	0	11	0	4
K11441	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	13	3	18	0	0	0	0	0	1	0	8	0	0	0	0	0	0	0	0
K11442	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0
K11443	89	2323	200	225	66	52	67	67	17	271	9	256	125	135	62	347	48	171	127	78	42	384	105	267	258	123	1039	11	33	584	578	67	360	262	444	1531	0	87	9	13	1378	1716	362
K11444	1948	11755	566	7363	388	10918	106	581	313	2750	35	1488	307	441	42	732	599	8205	902	121	401	244	709	568	409	272	3225	199	186	2273	33187	941	1103	5211	2341	5796	2135	221	124	648	5353	10948	6836
K11446	0	0	0	371	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K11450	2	236	21	18	2	24	13	20	0	124	32	9	5	9	0	27	0	0	0	14	10	31	35	17	19	9	201	7	0	32	0	0	55	18	54	117	0	0	0	0	1425	111	11
K11462	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K11465	30	2	33	321	0	0	0	0	58	0	0	0	12	10	27	0	0	0	0	0	0	0	0	55	38	51	23	21	50	7	0	0	36	26	37	0	0	0	0	0	0	0	0
K11472	65	3107	259	125	72	164	102	107	13	295	10	133	355	292	116	652	161	403	28	76	77	216	150	834	658	363	2328	27	105	740	67	188	983	578	973	3463	10	220	34	0	2004	416	373
K11473	169	5459	449	115	135	308	240	154	46	354	24	383	562	539	190	1169	343	826	465	113	172	284	203	1341	987	524	3410	37	783	1081	626	228	1716	955	1591	5146	34	215	78	22	6235	1500	3049
K11474	4	179	12	4	13	16	0	0	0	54	0	21	15	9	0	17	3	10	0	13	10	11	15	10	10	7	48	0	4	8	0	0	44	25	25	133	0	0	0	0	0	0	6
K11475	362	9962	712	1085	35	1745	435	447	26	1853	184	644	188	135	42	473	5	579	175	34	108	166	100	662	513	205	2102	69	229	1277	6091	77	775	464	816	3843	243	113	79	75	6113	945	1817
K11476	162	974	130	9	0	261	120	72	0	441	8	102	19	18	6	24	81	80	270	6	10	32	90	58	55	8	451	0	38	377	259	41	137	824	376	550	24	0	9	0	676	369	251
K11477	30	2340	170	143	2	61	109	46	10	383	0	178	56	50	31	133	91	115	10	7	12	41	8	168	87	54	479	8	26	214	178	6	164	683	398	1350	198	4	0	0	428	434	20
K11479	0	5	1	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K11480	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0
K11481	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0
K11483	0	49	7	0	0	0	0	8	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	21	0	0	0	0	0	18	2	9	0	0	0	0	0	0	0	0
K11484	0	13	3	0	0	0	0	0	0	4	0	0	1	9	0	0	0	0	0	0	17	4	1	1	4	7	21	0	20	5	0	0	14	3	3	28	4	4	0	0	0	3	2
K11491	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
K11493	17	111	1	0	0	0	0	0	0	11	0	4	2	2	1	0	0	8	0	1	5	0	0	3	3	0	70	0	0	1	0	0	0	0	0	0	0	0	4	0	8	0	0
K11494	63	1181	12	16743	0	10689	508	236	0	280	4	88	28	23	16	84	439	353	6184	1007	658	2990	2360	9640	7124	919	244	0	178	2313	0	304	199	21	304	45219	0	583	236	0	4200	774	2230
K11495	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K11496	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29	43	0	0	0	0	22	15	31	0	0	0	0	0	0	0	0
K11502	0	0	0	0	0	30	32	14	95	0	210	32	256	252	327	76	68	531	342	94	93	78	101	7	10	3	3	0	62	2	48	19	307	345	501	42	41	74	13	0	219	312	161
K11517	1	90	10	126	0	80	15	46	0	8	0	285	3	8	0	79	0	6	0	0	28	7	39	13	9	4	29	9	49	16	0	89	36	4	53	131	0	0	51	0	60	235	71
K11520	5	126	13	0	0	39	15	41	0	40	0	29	85	142	8	35	0	65	4	4	1	0	4	20	20	19	246	8	8	151	3	0	52	33	24	22	5	0	34	0	10	21	577
K11521	49	1499	39	334	0	177	1	96	19	27	15	218	12	38	3	53	0	85	0	2	5	11	17	40	53	27	264	1	0	136	11	47	174	358	54	172	12	28	0	5	570	16	55
K11522	0	0	0	8	0	10	5	13	0	0	0	0	42	108	17	25	0	0	0	14	6	13	6	125	122	64	194	0	0	103	0	0	243	119	6	19	5	0	0	0	0	0	0
K11523	0	0	0	0	0	2	1	0	0	0	0	0	4	14	0	6	0	0	0	9	11	5	2	9	17	6	29	0	0	26	0	0	37	35	1	4	0	0	0	0	0	0	8
K11524	0	0	0	0	0	7	8	8	0	0	0	0	4	23	0	0	0	0	0	11	2	8	4	16	17	13	57	0	0	28	0	0	28	31	0	6	0	0	0	0	0	0	0
K11525	0	42	4	5	0	121	43	85	0	61	0	0	44	206	22	88	8	0	2	68	19	43	17	216	213	145	673	1	22	574	0	0	382	183	16	96	8	0	0	0	0	0	5
K11526	0	1	1	0	0	63	7	67	0	5	0	0	29	72	7	94	0	0	0	36	4	24	2	221	181	150	376	40	0	210	0	0	342	114	19	80	9	0	0	0	0	0	0
K11527	3262	58147	4735	8508	580	3358	459	912	175	7342	277	5071	1451	1571	257	2923	2302	11891	1393	465	565	5517	684	4494	3310	1876	9412	445	788	3987	37810	405	3078	5380	2739	21269	400	302	249	250	33546	19335	21275
K11528	0	89	1	0	0	0	0	0	0	0	6	2	10	20	3	18	0	0	0	0	0	3	0	11	18	4	76	1	0	38	0	0	11	17	13	158	0	0	0	208	452	23	0
K11529	159	3108	262	173	77	126	88	182	31	380	16	537	237	218	138	475	203	498	54	70	121	166	102	648	438	289	2298	28	171	623	106	143	634	499	573	3158	19	140	30	0	2407	593	455
K11530	11	785	63	0	1	186	22	46	0	207	30	65	50	61	17	81	54	73	62	12	13	22	14	53	54	24	210	2	22	74	61	27	136	44	307	513	112	0	0	0	243	430	337
K11531	45	874	65	244	3	306	60	32	0	563	0	85	18	16	7	20	6	14	4	4	35	89	50	142	51	13	224	0	34	144	417	49	73	68	125	624	30	0	16	101	714	486	997
K11532	110	1986	241	106	38	20	26	8	11	240	20	389	126	146	50	115	14	170	2	51	43	124	95	310	273	173	788	26	118	366	35	61	389	327	350	1736	0	64	12	0	734	326	153
K11533	15	6455	174	3	5	414	717	298	0	60	0	267	32	17	12	76	11	0	0	6	1	16	6	19	25	6	135	17	181	170	0	8	41	24	21	58	0	0	15	0	0	0	10
K11534	2	61	3	13	2	2368	12	4	0	381	0	23	0	0	0	0	0	0	0	1	9	0	0	2	10	0	0	0	10	108	4	0	0	0	0	0	0	0	0	0	0	21	0
K11535	4	0	0	0	0	3805	39	73	0	375	0	0	0	0	0	0	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	354	0	0	0	0	0	165	49	134	627
K11536	0	0	0	4	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	12	0	0	0	0	3	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	7
K11537	207	1160	119	903	25	178	56	33	57	950	4	281	98	63	37	295	76	375	127	56	90	101	89	347	275	118	471	436	40	252	203	81	621	138	269	303	9	20	10	0	3209	2518	2742
K11538	50	8424	123	1366	31	178	54	40	0	178	0	382	49	45	9	212	24	636	41	16	25	105	81	246	213	153	301	67	146	450	8374	125	617	2532	872	776	444	110	48	5	1264	1099	364
K11539	1	74	1	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	3	3	1	31	0	0	11	9	0	2	3	22	76	0	15	0	0	21	0	0
K11540	18	803	10	0	8	21	9	0	0	0	0	6	55	38	19	20	0	2	2	5	5	41	15	22	30	0	174	5	66	123	0	5	17	65	92	182	10	0	0	0	235	0	117
